,Entreprise,Metier,Technologies,Diplome,Experience,Ville,Techlist
1291,Spotify,Data scientist,python/r/machine learning/excel/vba/c++,Bachelor,1.0,Bordeaux,"['python', 'r', 'machine learning', 'excel', 'vba', 'c++']"
1292,Amgen,Data scientist,r/python/spark/pycharm/sas/sql,Phd,0.0,Lyon,"['r', 'python', 'spark', 'pycharm', 'sas', 'sql']"
1293,ICF,Data architecte,java/python/linux,No diploma,2.0,Lille,"['java', 'python', 'linux']"
1294,Pearson,Data architecte,python/java/scala/mongodb,Bachelor,3.5,Paris,"['python', 'java', 'scala', 'mongodb']"
1295,"Lockstep, Inc.",Data scientist,c/c++/java/python,Phd,2.0,Paris,"['c', 'c++', 'java', 'python']"
1296,Ball Aerospace,Lead data scientist,c++/r/python/matlab/matplotlib,Phd,3.5,Marseille,"['c++', 'r', 'python', 'matlab', 'matplotlib']"
1297,Celgene Corporation,Data scientist,matlab/python/pyspark/scikit-learn/tensorflow,Phd,3.5,Paris,"['matlab', 'python', 'pyspark', 'scikit-learn', 'tensorflow']"
1298,Projectline,Data scientist,python/r/spark/hadoop/sql,Master,2.0,Lyon,"['python', 'r', 'spark', 'hadoop', 'sql']"
1299,National Instruments,Data architecte,java/aws/elasticsearch/kibana,Phd,1.0,Rennes,"['java', 'aws', 'elasticsearch', 'kibana']"
1300,Jobspring Partners,Data scientist,r/python/spark/pycharm/sas/sql,Phd,3.0,Bordeaux,"['r', 'python', 'spark', 'pycharm', 'sas', 'sql']"
1301,ERPi,Data engineer,hadoop/hive/sql/mariadb,Master,1.5,Lyon,"['hadoop', 'hive', 'sql', 'mariadb']"
1302,Brigham & Women's Hospital(BWH),Data scientist,python/tensorflow/scikit-learn/deep learning/r,Phd,1.5,Toulouse,"['python', 'tensorflow', 'scikit-learn', 'deep learning', 'r']"
1303,Amazon.com,Lead data scientist,sas/teradata/sql/r/python/machine learning/anglais,Master,1.0,Bordeaux,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
1304,Vertex,Data engineer,python/spark/gnu/linux,Master,0.5,Bordeaux,"['python', 'spark', 'gnu', 'linux']"
1305,Biogen,Data scientist,python/tensorflow/r/big data,Master,0.5,Paris,"['python', 'tensorflow', 'r', 'big data']"
1306,KPMG,Lead data scientist,vba/python/excel/r,Master,5.0,Paris,"['vba', 'python', 'excel', 'r']"
1307,State Street,Lead data scientist,python/r/spark/hadoop/sql,Master,0.5,Paris,"['python', 'r', 'spark', 'hadoop', 'sql']"
1308,NOKIA,Data architecte,hadoop/hive/vertica/tableau,Master,4.0,Marseille,"['hadoop', 'hive', 'vertica', 'tableau']"
1309,Amazon.com,Data engineer,aws/python/c/c++/docker,Master,4.0,Lille,"['aws', 'python', 'c', 'c++', 'docker']"
1310,Patricio Enterprises,Data engineer,python/java/linux/gnu,Phd,3.0,Marseille,"['python', 'java', 'linux', 'gnu']"
1311,Eaton Vance,Data engineer,java/linux/gnu/docker,Phd,5.0,Marseille,"['java', 'linux', 'gnu', 'docker']"
1312,CBRE,Data scientist,python/microsoft azure/r/sql,Phd,1.5,Lyon,"['python', 'microsoft azure', 'r', 'sql']"
1313,The University of Chicago Medicine,Data scientist,python/tensorflow/r/big data,Master,2.5,Lyon,"['python', 'tensorflow', 'r', 'big data']"
1314,Klein Hersh International,Data scientist,c++/r/python/matlab/matplotlib,Master,1.5,Paris,"['c++', 'r', 'python', 'matlab', 'matplotlib']"
1315,Jacobs,Data engineer,python/pyspark/spark,No diploma,7.0,Paris,"['python', 'pyspark', 'spark']"
1316,Generation Bio,Data scientist,spss/excel/sas/r/machine learning/ai/scoring,Phd,4.0,Bordeaux,"['spss', 'excel', 'sas', 'r', 'machine learning', 'ai', 'scoring']"
1317,McKinsey & Company,Data architecte,spark/python,Bachelor,2.0,Paris,"['spark', 'python']"
1318,Base Operations,Data engineer,java/hadoop/hadoop/yarn,Master,5.0,Paris,"['java', 'hadoop', 'hadoop', 'yarn']"
1319,Ball Aerospace,Data scientist,matlab/python/pyspark/scikit-learn/tensorflow,Master,2.0,Marseille,"['matlab', 'python', 'pyspark', 'scikit-learn', 'tensorflow']"
1320,"ArcherDX, INC.",Data scientist,r/machine learning/excel/vba,Phd,6.0,Lyon,"['r', 'machine learning', 'excel', 'vba']"
1321,Apple,Data architecte,hadoop/hive/vertica/tableau,Master,3.0,Lille,"['hadoop', 'hive', 'vertica', 'tableau']"
1322,The Home Depot,Data engineer,python/spark/gnu/linux,Master,0.5,Lille,"['python', 'spark', 'gnu', 'linux']"
1323,DELL,Lead data scientist,sql/r/python/big data,Phd,2.0,Paris,"['sql', 'r', 'python', 'big data']"
1324,ITL USA,Data scientist,python/tensorflow/r/big data,Master,0.5,Nantes,"['python', 'tensorflow', 'r', 'big data']"
1325,Beth Israel Deaconess Medical Center,Data engineer,mongodb/mariadb/python/docker,Master,2.5,Lille,"['mongodb', 'mariadb', 'python', 'docker']"
1326,The Home Depot,Data engineer,java/hadoop/hadoop/yarn,Master,3.0,Lille,"['java', 'hadoop', 'hadoop', 'yarn']"
1327,MGH & BWH Center for Clinical Data Science,Lead data scientist,r/python/hadoop/hive/sql,Master,9.0,Paris,"['r', 'python', 'hadoop', 'hive', 'sql']"
1328,UNKNOWN,Data engineer,elasticsearch/kibana/mongodb,Master,0.5,Bordeaux,"['elasticsearch', 'kibana', 'mongodb']"
1329,Google,Data scientist,java/c/c++/r/python,Master,6.0,Rouen,"['java', 'c', 'c++', 'r', 'python']"
1330,WinterWyman,Data scientist,python/tensorflow/scikit-learn/deep learning/r,Master,1.5,Paris,"['python', 'tensorflow', 'scikit-learn', 'deep learning', 'r']"
1331,UNKNOWN,Data architecte,python/hadoop/kafka/aws,No diploma,0.0,Lille,"['python', 'hadoop', 'kafka', 'aws']"
1332,"Research Foundation for Mental Hygiene, Inc.",Data scientist,sql/r/python/big data,Phd,1.5,Marseille,"['sql', 'r', 'python', 'big data']"
1333,Ball Aerospace,Lead data scientist,sas/teradata/sql/r/python/machine learning/anglais,Phd,2.5,Lyon,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
1334,Mathematica Policy Research,Data engineer,elasticsearch/kibana/mongodb,Phd,8.0,Bordeaux,"['elasticsearch', 'kibana', 'mongodb']"
1335,UNKNOWN,Data scientist,python/tensorflow/r/big data,Phd,0.5,Marseille,"['python', 'tensorflow', 'r', 'big data']"
1336,Sophia Genetics,Data scientist,sas/teradata/sql/r/python/machine learning/anglais,Phd,1.5,Rennes,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
1337,UNKNOWN,Data scientist,sas/teradata/sql/r/python/machine learning/anglais,Phd,3.0,Lille,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
1338,Payments & Cards Network,Data engineer,java/linux/gnu/docker,Master,0.0,Nice,"['java', 'linux', 'gnu', 'docker']"
1339,PerkinElmer,Lead data scientist,sas/teradata/sql/r/python/machine learning/anglais,Master,2.5,Marseille,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
1340,Nuveen,Data scientist,excel/vba/r/python/pyspark,Master,3.5,Marseille,"['excel', 'vba', 'r', 'python', 'pyspark']"
1341,GQR,Data engineer,map-reduce/hadoop/pig/hbase/python/cassandra,Master,2.5,Rennes,"['map-reduce', 'hadoop', 'pig', 'hbase', 'python', 'cassandra']"
1342,Dana-Farber Cancer Institute,Data architecte,java/aws/elasticsearch/kibana,Master,0.0,Marseille,"['java', 'aws', 'elasticsearch', 'kibana']"
1343,Vanda Pharmaceuticals Inc.,Data architecte,mongodb/sql/docker,Phd,1.5,Lyon,"['mongodb', 'sql', 'docker']"
1344,Pacific Investment Management Company LLC,Data architecte,python/spark/hive/hadoop,Phd,0.0,Marseille,"['python', 'spark', 'hive', 'hadoop']"
1345,Cogito Corporation,Data engineer,python/pyspark/spark,Master,4.0,Marseille,"['python', 'pyspark', 'spark']"
1346,Analytic Recruiting,Data scientist,matlab/python/pyspark/scikit-learn/tensorflow,Bachelor,1.5,Toulon,"['matlab', 'python', 'pyspark', 'scikit-learn', 'tensorflow']"
1347,"Anthem, Inc.",Data architecte,spark/python,Master,3.0,Lyon,"['spark', 'python']"
1348,Amazon.com,Data engineer,oracle/java/mysql/linux,Bachelor,5.0,Toulouse,"['oracle', 'java', 'mysql', 'linux']"
1349,UNKNOWN,Data engineer,java/linux/gnu/docker,No diploma,1.5,Marseille,"['java', 'linux', 'gnu', 'docker']"
1350,UNKNOWN,Data scientist,r/machine learning/excel/vba,Bachelor,3.0,Lyon,"['r', 'machine learning', 'excel', 'vba']"
1351,Cognition Financial Corporation,Data scientist,excel/python/matlab/r/machine learning/anglais,Master,1.5,Lyon,"['excel', 'python', 'matlab', 'r', 'machine learning', 'anglais']"
1352,Fulcrum Therapeutics,Data scientist,excel/python/matlab/r/machine learning/anglais,Master,0.0,Nantes,"['excel', 'python', 'matlab', 'r', 'machine learning', 'anglais']"
1353,UNKNOWN,Data scientist,r/python/spark/pycharm/sas/sql,Master,1.0,Lyon,"['r', 'python', 'spark', 'pycharm', 'sas', 'sql']"
1354,UNKNOWN,Data scientist,sql/r/python/big data,Master,1.5,Paris,"['sql', 'r', 'python', 'big data']"
1355,The Home Depot,Lead data scientist,sql/r/python/big data,Master,1.0,Marseille,"['sql', 'r', 'python', 'big data']"
1356,"Alexion Pharmaceuticals,Inc.",Data architecte,cassandra/mongodb/nosql/aws,Master,2.0,Lyon,"['cassandra', 'mongodb', 'nosql', 'aws']"
1357,Grant Thornton,Data scientist,excel/vba/r/python/pyspark,Master,7.0,Lyon,"['excel', 'vba', 'r', 'python', 'pyspark']"
1358,Vertex Pharmaceuticals,Data engineer,python/java/linux/gnu,Master,0.0,Lille,"['python', 'java', 'linux', 'gnu']"
1359,Career Movement,Data scientist,excel/vba/r,Master,1.5,Lille,"['excel', 'vba', 'r']"
1360,AMERICAN CANCER SOCIETY,Data scientist,matlab/python/c++/numpy/tensorflow/scikit-learn,No diploma,3.0,Marseille,"['matlab', 'python', 'c++', 'numpy', 'tensorflow', 'scikit-learn']"
1361,R&D Partners,Data scientist,sql/r/python/big data,Phd,2.0,Rouen,"['sql', 'r', 'python', 'big data']"
1362,Newton Colmore Consulting Ltd,Data architecte,python/hadoop/kafka/aws,Master,2.0,Lille,"['python', 'hadoop', 'kafka', 'aws']"
1363,UNKNOWN,Lead data scientist,sql/r/python/big data,Bachelor,3.5,Grenoble,"['sql', 'r', 'python', 'big data']"
1364,Anokion SA,Data scientist,python/tensorflow/r/big data,Phd,2.5,Lille,"['python', 'tensorflow', 'r', 'big data']"
1365,Inspire Brands,Data engineer,elasticsearch/kibana/mongodb,Master,0.5,Lyon,"['elasticsearch', 'kibana', 'mongodb']"
1366,McKinsey & Company,Data engineer,elasticsearch/kibana/mongodb,Master,1.5,Lyon,"['elasticsearch', 'kibana', 'mongodb']"
1367,Johnson & Johnson Family of Companies,Data scientist,r/machine learning/excel/vba,Master,7.0,Paris,"['r', 'machine learning', 'excel', 'vba']"
1368,Manulife,Data architecte,docker/gnu/windows/linux/python,Bachelor,3.5,Lyon,"['docker', 'gnu', 'windows', 'linux', 'python']"
1369,ARiA,Data engineer,docker/postgresql/elasticsearch/kibana/mongodb,No diploma,1.0,Lille,"['docker', 'postgresql', 'elasticsearch', 'kibana', 'mongodb']"
1370,Oscar Insurance,Data scientist,spss/excel/sas/r/machine learning/ai/scoring,Bachelor,1.5,Rennes,"['spss', 'excel', 'sas', 'r', 'machine learning', 'ai', 'scoring']"
1371,UNKNOWN,Data scientist,sas/teradata/sql/r/python/machine learning/anglais,Phd,0.0,Paris,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
1372,Ball Aerospace,Data architecte,elasticsearch/kibana/redshift,Phd,2.0,Nice,"['elasticsearch', 'kibana', 'redshift']"
1373,Icon plc,Data engineer,hadoop/hive/sql/mariadb,Master,1.0,Marseille,"['hadoop', 'hive', 'sql', 'mariadb']"
1374,Tempus,Data scientist,excel/python/matlab/r/machine learning/anglais,Phd,2.5,Toulouse,"['excel', 'python', 'matlab', 'r', 'machine learning', 'anglais']"
1375,UNKNOWN,Lead data scientist,excel/vba/r,Master,3.0,Rouen,"['excel', 'vba', 'r']"
1376,General Electric,Data engineer,mariadb/mongodb/nosql/sql/hadoop/hive,Master,10.0,Lyon,"['mariadb', 'mongodb', 'nosql', 'sql', 'hadoop', 'hive']"
1377,Shire Pharmaceuticals,Data scientist,python/r/spark/hadoop/sql,Master,3.0,Lyon,"['python', 'r', 'spark', 'hadoop', 'sql']"
1378,"RetailMeNot, Inc.",Data architecte,mongodb/sql/docker,Bachelor,2.5,Lyon,"['mongodb', 'sql', 'docker']"
1379,UNKNOWN,Data scientist,r/python/sql/nosql/mongodb,Master,2.0,Marseille,"['r', 'python', 'sql', 'nosql', 'mongodb']"
1380,Dremio,Data engineer,c/c++/java/python/linux,No diploma,3.0,Paris,"['c', 'c++', 'java', 'python', 'linux']"
1381,GroundTruth,Data scientist,matlab/python/pyspark/scikit-learn/tensorflow,Master,3.0,Nantes,"['matlab', 'python', 'pyspark', 'scikit-learn', 'tensorflow']"
1382,Vertex,Data architecte,hadoop/hive/vertica/tableau,No diploma,1.0,Paris,"['hadoop', 'hive', 'vertica', 'tableau']"
1383,Civis Analytics,Data scientist,sql/r/python/big data,Phd,2.5,Strasbourg,"['sql', 'r', 'python', 'big data']"
1384,"BigBear, Inc.",Data architecte,python/spark/hive/hadoop,Phd,3.5,Bordeaux,"['python', 'spark', 'hive', 'hadoop']"
1385,Thermo Fisher Scientific,Data engineer,java/hadoop/hadoop/yarn,Bachelor,1.5,Toulouse,"['java', 'hadoop', 'hadoop', 'yarn']"
1386,Harvard University,Data engineer,map-reduce/hadoop/pig/hbase/python/cassandra,Master,0.5,Lyon,"['map-reduce', 'hadoop', 'pig', 'hbase', 'python', 'cassandra']"
1387,Hap Capital,Data scientist,java/c/c++/r/python,Phd,3.5,Paris,"['java', 'c', 'c++', 'r', 'python']"
1388,h2o.ai,Data scientist,sas/teradata/sql/r/python/machine learning/anglais,Master,8.0,Marseille,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
1389,Roche,Data scientist,sas/teradata/sql/r/python/machine learning/anglais,No diploma,0.0,Bordeaux,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
1390,National Instruments,Lead data scientist,excel/vba/r,Master,5.0,Paris,"['excel', 'vba', 'r']"
1391,KNIME,Lead data scientist,excel/python/matlab/r/machine learning/anglais,Bachelor,4.0,Lyon,"['excel', 'python', 'matlab', 'r', 'machine learning', 'anglais']"
1392,Amazon.com,Data scientist,r/python/spark/pycharm/sas/sql,Phd,1.0,Lyon,"['r', 'python', 'spark', 'pycharm', 'sas', 'sql']"
1393,NORC at the University of Chicago,Data architecte,cassandra/mongodb/nosql/aws,Bachelor,1.0,Marseille,"['cassandra', 'mongodb', 'nosql', 'aws']"
1394,Brigham & Women's Hospital(BWH),Data architecte,java/aws/elasticsearch/kibana,Master,3.0,Toulouse,"['java', 'aws', 'elasticsearch', 'kibana']"
1395,Conversion Logic,Data engineer,map-reduce/hadoop/pig/hbase/python/cassandra,Master,2.5,Bordeaux,"['map-reduce', 'hadoop', 'pig', 'hbase', 'python', 'cassandra']"
1396,UNKNOWN,Data scientist,sql/r/python/big data,Master,4.0,Paris,"['sql', 'r', 'python', 'big data']"
1397,Ball Aerospace,Data engineer,c/c++/java/python/linux,Phd,3.5,Bordeaux,"['c', 'c++', 'java', 'python', 'linux']"
1398,Jacobs,Data architecte,hadoop/elasticsearch,Phd,3.0,Paris,"['hadoop', 'elasticsearch']"
1399,Georgia Tech Research Institute,Data architecte,cassandra/mongodb/nosql/aws,Bachelor,0.5,Strasbourg,"['cassandra', 'mongodb', 'nosql', 'aws']"
1400,Jacobs,Data scientist,matlab/c/c++/python/scikit-learn,Bachelor,2.0,Lyon,"['matlab', 'c', 'c++', 'python', 'scikit-learn']"
1401,Amazon.com,Data scientist,sql/r/python/big data,Master,1.0,Strasbourg,"['sql', 'r', 'python', 'big data']"
1402,UNKNOWN,Data engineer,java/linux/gnu/docker,Master,2.0,Lille,"['java', 'linux', 'gnu', 'docker']"
1403,DEPT OF ENVIRONMENT PROTECTION,Data scientist,spss/excel/sas/r/machine learning/ai/scoring,Phd,1.5,Lyon,"['spss', 'excel', 'sas', 'r', 'machine learning', 'ai', 'scoring']"
1404,UNKNOWN,Data engineer,hadoop/hive/sql/mariadb,No diploma,3.5,Paris,"['hadoop', 'hive', 'sql', 'mariadb']"
1405,Radiant Solutions,Data architecte,docker/gnu/windows/linux/python,Master,3.5,Lyon,"['docker', 'gnu', 'windows', 'linux', 'python']"
1406,Ashton Lane Group,Data scientist,python/tensorflow/scikit-learn/deep learning/r,Phd,2.5,Rouen,"['python', 'tensorflow', 'scikit-learn', 'deep learning', 'r']"
1407,UNKNOWN,Data scientist,python/tensorflow/r/big data,Bachelor,0.5,Marseille,"['python', 'tensorflow', 'r', 'big data']"
1408,YIWEI Medical Inc.,Data engineer,elasticsearch/kibana/mongodb,Master,3.5,Nantes,"['elasticsearch', 'kibana', 'mongodb']"
1409,Vertex,Data scientist,r/machine learning/excel/vba,Master,1.5,Paris,"['r', 'machine learning', 'excel', 'vba']"
1410,UNKNOWN,Data architecte,java/python/linux,Master,4.0,Marseille,"['java', 'python', 'linux']"
1411,UNKNOWN,Data scientist,sas/teradata/sql/r/python/machine learning/anglais,Phd,1.5,Toulouse,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
1412,Newmark Knight Frank,Data scientist,python/r/spark/hadoop/sql,Bachelor,1.5,Lyon,"['python', 'r', 'spark', 'hadoop', 'sql']"
1413,University of Colorado,Data engineer,c/c++/java/python/linux,Master,3.0,Paris,"['c', 'c++', 'java', 'python', 'linux']"
1414,PureTech Health,Lead data scientist,python/r/machine learning/excel/vba/c++,Master,3.0,Paris,"['python', 'r', 'machine learning', 'excel', 'vba', 'c++']"
1415,Klein Hersh International,Data engineer,map-reduce/hadoop/pig/hbase/python/cassandra,Master,3.5,Paris,"['map-reduce', 'hadoop', 'pig', 'hbase', 'python', 'cassandra']"
1416,Ball Aerospace,Data scientist,r/machine learning/excel/vba,Master,6.0,Lyon,"['r', 'machine learning', 'excel', 'vba']"
1417,UNKNOWN,Data engineer,mariadb/mongodb/nosql/sql/hadoop/hive,Master,0.5,Marseille,"['mariadb', 'mongodb', 'nosql', 'sql', 'hadoop', 'hive']"
1418,PCI Strategic Management,Data scientist,excel/vba/r/python/pyspark,Bachelor,2.0,Grenoble,"['excel', 'vba', 'r', 'python', 'pyspark']"
1419,"Seres Therapeutics, Inc.",Data scientist,python/tensorflow/r/big data,Bachelor,2.5,Paris,"['python', 'tensorflow', 'r', 'big data']"
1420,DataMasters,Data scientist,python/tensorflow/r/big data,Bachelor,1.5,Strasbourg,"['python', 'tensorflow', 'r', 'big data']"
1421,Squarespace,Data scientist,spss/excel/sas/r/machine learning/ai/scoring,Master,0.5,Lille,"['spss', 'excel', 'sas', 'r', 'machine learning', 'ai', 'scoring']"
1422,UNKNOWN,Data engineer,python/java/linux/gnu,Phd,0.5,Lyon,"['python', 'java', 'linux', 'gnu']"
1423,UNKNOWN,Data architecte,java/aws/elasticsearch/kibana,Master,1.5,Lyon,"['java', 'aws', 'elasticsearch', 'kibana']"
1424,Honeywell,Data engineer,c/c++/java/python/linux,Phd,3.5,Lyon,"['c', 'c++', 'java', 'python', 'linux']"
1425,Cedars-Sinai,Data scientist,r/python/sql/nosql/mongodb,Phd,2.0,Toulouse,"['r', 'python', 'sql', 'nosql', 'mongodb']"
1426,Wunderman,Lead data scientist,matlab/python/c++/numpy/tensorflow/scikit-learn,Phd,2.5,Marseille,"['matlab', 'python', 'c++', 'numpy', 'tensorflow', 'scikit-learn']"
1427,Workbridge Associates,Data scientist,r/python/sql/nosql/mongodb,Master,1.5,Bordeaux,"['r', 'python', 'sql', 'nosql', 'mongodb']"
1428,NXP Semiconductors,Lead data scientist,r/python/hadoop/hive/sql,Master,2.0,Paris,"['r', 'python', 'hadoop', 'hive', 'sql']"
1429,UNKNOWN,Lead data scientist,r/python/hadoop/hive/sql,Master,8.0,Lyon,"['r', 'python', 'hadoop', 'hive', 'sql']"
1430,McKinsey & Company,Data architecte,java/python/linux,Bachelor,2.5,Rennes,"['java', 'python', 'linux']"
1431,UNKNOWN,Data scientist,r/python/spark/pycharm/sas/sql,Phd,9.0,Paris,"['r', 'python', 'spark', 'pycharm', 'sas', 'sql']"
1432,Akamai,Data scientist,sql/r/python/big data,Master,1.5,Bordeaux,"['sql', 'r', 'python', 'big data']"
1433,UNKNOWN,Data scientist,matlab/python/pyspark/scikit-learn/tensorflow,Master,1.0,Paris,"['matlab', 'python', 'pyspark', 'scikit-learn', 'tensorflow']"
1434,Bank of America,Data architecte,java/aws/elasticsearch/kibana,No diploma,0.0,Toulouse,"['java', 'aws', 'elasticsearch', 'kibana']"
1435,ProClinical,Lead data scientist,python/r/machine learning/excel/vba/c++,Bachelor,3.0,Paris,"['python', 'r', 'machine learning', 'excel', 'vba', 'c++']"
1436,PLAYSTUDIOS Inc,Data architecte,java/aws/elasticsearch/kibana,Bachelor,1.0,Toulouse,"['java', 'aws', 'elasticsearch', 'kibana']"
1437,EXL,Data scientist,excel/vba/r,Master,0.5,Toulon,"['excel', 'vba', 'r']"
1438,BMO Financial Group,Data engineer,docker/postgresql/elasticsearch/kibana/mongodb,Master,3.0,Lyon,"['docker', 'postgresql', 'elasticsearch', 'kibana', 'mongodb']"
1439,Duff & Phelps Investment Management Company,Data architecte,python/java/scala/mongodb,Master,1.5,Grenoble,"['python', 'java', 'scala', 'mongodb']"
1440,Novartis,Data scientist,sas/teradata/sql/r/python/machine learning/anglais,Phd,3.5,Lille,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
1441,EY,Data scientist,python/microsoft azure/r/sql,Master,1.5,Lyon,"['python', 'microsoft azure', 'r', 'sql']"
1442,Capgemini,Data scientist,sas/teradata/sql/r/python/machine learning/anglais,Master,2.0,Marseille,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
1443,Ball Aerospace,Lead data scientist,r/python/sql/nosql/mongodb,Master,4.0,Lyon,"['r', 'python', 'sql', 'nosql', 'mongodb']"
1444,The Climate Corporation,Data scientist,r/machine learning/excel/vba,Phd,0.5,Toulouse,"['r', 'machine learning', 'excel', 'vba']"
1445,Inzone,Data architecte,docker/gnu/windows/linux/python,Master,3.0,Marseille,"['docker', 'gnu', 'windows', 'linux', 'python']"
1446,Guidehouse,Data architecte,c/c++/java/python,No diploma,0.0,Lille,"['c', 'c++', 'java', 'python']"
1447,UNKNOWN,Lead data scientist,sql/r/python/big data,Bachelor,3.0,Paris,"['sql', 'r', 'python', 'big data']"
1448,SkillDemand,Data architecte,hadoop/hive/vertica/tableau,Master,0.0,Paris,"['hadoop', 'hive', 'vertica', 'tableau']"
1449,Lightmatter,Lead data scientist,r/python/hadoop/hive/sql,Master,1.5,Toulouse,"['r', 'python', 'hadoop', 'hive', 'sql']"
1450,UNKNOWN,Data architecte,python/spark/hive/hadoop,No diploma,4.0,Rennes,"['python', 'spark', 'hive', 'hadoop']"
1451,Cedars-Sinai Medical Center,Data scientist,python/pyspark/machine learning/microsoft azure,Master,2.0,Paris,"['python', 'pyspark', 'machine learning', 'microsoft azure']"
1452,UNKNOWN,Data architecte,java/aws/elasticsearch/kibana,Phd,7.0,Marseille,"['java', 'aws', 'elasticsearch', 'kibana']"
1453,Jacobs,Data engineer,docker/postgresql/elasticsearch/kibana/mongodb,Bachelor,3.0,Paris,"['docker', 'postgresql', 'elasticsearch', 'kibana', 'mongodb']"
1454,Pluralsight,Data scientist,excel/vba/r/python/pyspark,Phd,21.0,Lille,"['excel', 'vba', 'r', 'python', 'pyspark']"
1455,Coyote Logistics,Data scientist,matlab/c/c++/python/scikit-learn,Master,2.0,Lyon,"['matlab', 'c', 'c++', 'python', 'scikit-learn']"
1456,B3 Group Inc,Data scientist,sas/teradata/sql/r/python/machine learning/anglais,Master,3.0,Paris,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
1457,Thomson Reuters,Data scientist,vba/python/excel/r,Master,4.0,Grenoble,"['vba', 'python', 'excel', 'r']"
1458,PPD,Data architecte,c/c++/java/python,Master,5.0,Lille,"['c', 'c++', 'java', 'python']"
1459,Payette Group,Data scientist,sas/teradata/sql/r/python/machine learning/anglais,Master,1.5,Bordeaux,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
1460,Arm,Data engineer,hadoop/hive/sql/mariadb,Master,0.5,Rouen,"['hadoop', 'hive', 'sql', 'mariadb']"
1461,KPMG,Data architecte,c/c++/java/python,No diploma,1.5,Bordeaux,"['c', 'c++', 'java', 'python']"
1462,UNKNOWN,Data architecte,python/hadoop/kafka/aws,Phd,0.0,Toulouse,"['python', 'hadoop', 'kafka', 'aws']"
1463,Draper,Data scientist,python/microsoft azure/r/sql,Phd,0.5,Bordeaux,"['python', 'microsoft azure', 'r', 'sql']"
1464,Cotiviti,Data scientist,matlab/c/c++/python/scikit-learn,Master,6.0,Toulouse,"['matlab', 'c', 'c++', 'python', 'scikit-learn']"
1465,Amazon.com,Data scientist,python/tensorflow/r/big data,Phd,4.0,Toulouse,"['python', 'tensorflow', 'r', 'big data']"
1466,Civis Analytics,Data architecte,java/aws/elasticsearch/kibana,Master,0.0,Lyon,"['java', 'aws', 'elasticsearch', 'kibana']"
1467,Google,Data scientist,matlab/python/pyspark/scikit-learn/tensorflow,Phd,4.0,Strasbourg,"['matlab', 'python', 'pyspark', 'scikit-learn', 'tensorflow']"
1468,Indigo,Lead data scientist,python/microsoft azure/r/sql,Bachelor,6.0,Lyon,"['python', 'microsoft azure', 'r', 'sql']"
1469,Civis Analytics,Data architecte,python/aws/docker,Bachelor,6.0,Paris,"['python', 'aws', 'docker']"
1470,Ball Aerospace,Data architecte,java/aws/elasticsearch/kibana,Bachelor,3.5,Marseille,"['java', 'aws', 'elasticsearch', 'kibana']"
1471,UNKNOWN,Data scientist,python/r/machine learning/excel/vba/c++,Master,1.0,Paris,"['python', 'r', 'machine learning', 'excel', 'vba', 'c++']"
1472,UNKNOWN,Data scientist,python/tensorflow/r/big data,Phd,0.0,Strasbourg,"['python', 'tensorflow', 'r', 'big data']"
1473,Broad Institute,Data scientist,python/tensorflow/r/big data,Master,1.5,Paris,"['python', 'tensorflow', 'r', 'big data']"
1474,TransUnion,Data architecte,python/hadoop/kafka/aws,Master,3.0,Toulouse,"['python', 'hadoop', 'kafka', 'aws']"
1475,University of Texas at Austin,Data engineer,oracle/java/mysql/linux,Bachelor,0.0,Lille,"['oracle', 'java', 'mysql', 'linux']"
1476,PwC,Data scientist,matlab/python/pyspark/scikit-learn/tensorflow,Phd,2.0,Marseille,"['matlab', 'python', 'pyspark', 'scikit-learn', 'tensorflow']"
1477,"Moderna Therapeutics, Inc",Data scientist,matlab/python/c++/numpy/tensorflow/scikit-learn,Phd,0.0,Lyon,"['matlab', 'python', 'c++', 'numpy', 'tensorflow', 'scikit-learn']"
1478,The Goal Inc.,Data architecte,java/aws/elasticsearch/kibana,Master,3.5,Lyon,"['java', 'aws', 'elasticsearch', 'kibana']"
1479,Senseye,Lead data scientist,excel/python/matlab/r/machine learning/anglais,Master,2.5,Lyon,"['excel', 'python', 'matlab', 'r', 'machine learning', 'anglais']"
1480,UNKNOWN,Data architecte,python/aws/docker,Master,0.0,Marseille,"['python', 'aws', 'docker']"
